"","Clim01","Clim02","Clim03","Clim04","Clim05","Clim06","Clim07","Clim08","Clim09","Clim10","Clim11","Clim12","Clim13","Clim14","Clim15","Clim16","Clim17","Clim18","Clim19","dem","arachide"
"68",254,128,69,1865,331,146,185,272,237,273,228,366,137,0,154,323,0,285,2,44,625
"69",269,159,66,1902,382,143,239,277,263,289,239,513,188,0,148,442,0,141,2,34,400
"70",272,154,64,2054,386,148,238,280,283,294,240,400,136,0,142,338,1,105,4,32,200
"71",273,137,67,1356,363,161,202,278,272,285,251,715,256,0,144,604,0,209,2,21,1000
"72",256,131,68,1971,337,145,192,276,247,276,228,342,127,0,153,300,0,268,2,37,200
"73",273,161,66,1833,389,147,242,278,271,293,245,555,190,0,142,471,0,37,2,37,433
"74",273,158,67,1814,380,146,234,283,266,291,244,557,205,0,149,482,0,140,2,23,700
"75",273,161,65,1855,390,145,245,277,272,294,244,547,187,0,142,460,0,39,2,37,246
"76",275,159,66,1774,388,149,239,281,272,294,248,568,191,0,143,483,0,163,2,27,50
"77",262,144,70,1598,349,144,205,274,242,277,237,521,203,0,154,459,1,322,1,38,500
"78",275,159,66,1802,388,148,240,282,272,294,247,564,194,0,143,482,0,158,2,24,100
"79",272,158,65,1952,388,145,243,277,269,293,241,467,162,0,145,396,0,32,1,53,600
"80",255,131,69,1865,334,145,189,273,238,273,228,380,144,0,154,334,0,226,2,41,300
"81",267,143,68,1624,358,148,210,277,260,282,241,583,222,0,152,509,0,144,2,13,308
"82",260,141,69,1779,346,144,202,274,248,276,232,435,164,0,147,373,1,265,3,41,44
"83",271,152,67,1684,374,148,226,278,267,288,244,605,218,0,147,520,0,161,2,11,800
"84",271,155,64,2035,387,146,241,277,250,293,239,436,153,0,143,370,1,31,2,53,0
"85",285,157,62,2243,406,155,251,291,281,310,251,420,138,0,138,351,1,27,2,15,250
"86",271,157,67,1752,376,145,231,280,264,288,243,556,207,0,149,482,0,137,2,35,750
"87",253,126,68,1766,330,147,183,271,238,271,229,388,145,0,154,343,0,224,2,51,460
"88",271,130,68,1175,356,166,190,277,268,280,252,755,277,0,146,642,0,219,2,28,500
"89",266,154,69,1687,365,142,223,277,257,282,239,543,207,0,151,475,0,129,2,23,267
"90",255,131,69,1865,334,145,189,273,238,273,228,380,144,0,154,334,0,226,2,43,60
"91",272,160,65,1926,390,145,245,277,270,293,242,525,182,0,143,443,0,37,2,26,439
"92",268,159,65,1941,383,142,241,276,264,289,238,501,182,0,147,430,0,139,2,42,600
"93",263,136,66,2097,349,146,203,283,257,284,232,280,101,0,149,243,0,218,3,23,283
"94",271,160,65,1875,387,143,244,277,267,290,241,539,194,0,146,459,0,152,2,32,300
"95",268,159,65,1941,383,142,241,276,264,289,238,501,182,0,147,430,0,139,2,37,650
"96",271,158,66,1851,382,145,237,280,265,291,242,515,187,0,149,445,0,138,2,31,600
"97",256,131,68,1971,337,145,192,276,247,276,228,342,127,0,153,300,0,268,2,37,100
"98",277,159,66,1844,388,150,238,286,271,296,248,551,198,0,149,475,0,145,2,10,250
"99",255,131,69,1865,334,145,189,273,238,273,228,380,144,0,154,334,0,226,2,43,60
"100",271,154,64,2055,385,147,238,278,282,293,239,409,141,0,141,347,1,110,4,45,800
"101",277,160,67,1841,387,149,238,286,272,295,248,550,198,0,149,474,0,144,2,13,62
"102",276,159,66,1777,388,149,239,283,272,294,248,559,192,0,145,478,0,157,2,21,400
"103",270,131,67,1212,357,164,193,276,267,280,250,750,273,0,145,636,0,218,2,46,750
"104",268,155,67,1816,374,144,230,278,262,287,239,494,179,0,147,427,0,129,2,37,400
"105",267,155,66,1868,376,143,233,275,261,286,237,464,166,0,147,400,0,128,2,49,130
"106",252,124,68,1853,328,147,181,271,234,272,227,364,137,0,154,322,0,287,2,50,750
"107",275,160,65,1808,391,148,243,278,275,295,247,570,189,0,141,479,0,41,2,37,260
"108",271,158,65,1980,388,145,243,277,268,293,241,466,162,0,145,395,0,32,2,40,750
"109",270,150,67,1654,371,148,223,277,266,286,243,612,224,0,147,527,0,160,2,9,1250
"110",258,139,70,1831,341,144,197,274,244,276,230,403,151,0,151,349,1,241,3,49,100
"111",269,157,65,1946,382,144,238,276,264,289,238,462,164,0,145,394,0,129,2,50,325
"112",263,147,70,1621,352,144,208,275,253,279,238,537,210,0,154,471,1,333,2,23,200
"113",270,157,67,1831,378,145,233,279,263,288,240,507,184,0,147,438,0,134,2,46,325
"114",262,139,68,2009,347,145,202,279,247,281,231,333,118,0,150,287,1,191,3,26,500
"115",271,140,68,1444,362,157,205,277,267,284,248,665,249,0,148,571,0,178,2,5,500
"116",252,125,69,1862,328,147,181,272,235,272,227,370,139,0,157,328,0,292,2,49,400
"117",272,133,67,1247,360,164,196,277,270,282,252,741,269,0,145,627,0,217,2,38,500
"118",268,154,67,1788,373,145,228,277,261,286,239,496,181,0,148,430,0,127,2,37,100
"119",269,159,65,1925,386,143,243,276,266,290,239,491,174,0,146,418,0,33,2,46,300
"120",266,152,68,1746,364,143,221,276,257,283,238,524,195,0,150,454,1,125,3,44,250
"121",256,135,69,1896,337,144,193,274,249,275,228,372,140,0,150,326,0,220,2,41,126
"122",255,126,66,2058,336,146,190,277,243,278,227,326,121,0,151,286,0,257,2,31,1200
"123",275,159,67,1830,384,147,237,284,270,293,246,555,202,0,147,479,0,143,2,20,200
"124",269,151,68,1681,367,146,221,278,262,285,242,573,216,0,152,500,0,142,2,14,500
"125",255,126,66,2058,336,146,190,277,243,278,227,326,121,0,151,286,0,257,2,31,200
"126",276,159,64,2023,396,148,248,279,276,300,245,478,155,0,140,397,1,33,3,35,343
"127",252,124,68,1853,328,147,181,271,234,272,227,364,137,0,154,322,0,287,2,48,100
"128",277,160,66,1852,390,149,241,286,272,296,248,547,194,0,147,470,0,147,2,14,180
"129",262,144,70,1597,348,144,204,274,242,277,237,527,207,0,156,464,1,327,1,26,267
"130",268,156,68,1696,371,143,228,278,261,285,241,558,211,0,152,487,0,135,2,28,1000
"131",273,158,67,1814,380,146,234,283,266,291,244,557,205,0,149,482,0,140,2,23,400
"132",255,126,66,2053,336,146,190,277,244,278,228,325,121,0,151,285,0,256,2,28,500
"133",253,127,67,1937,332,145,187,273,235,274,227,368,139,0,155,324,0,288,1,37,110
"134",262,139,68,2009,347,145,202,279,247,281,231,333,118,0,150,287,1,191,3,26,300
"135",265,150,69,1679,361,144,217,276,255,281,238,515,191,0,151,446,1,122,3,43,263
"136",279,160,66,1887,390,151,239,288,273,298,250,539,194,0,149,465,0,142,2,9,760
"137",273,160,65,1900,391,146,245,277,271,295,244,532,182,0,141,446,0,39,2,27,300
"138",280,156,60,2654,402,144,258,292,271,309,239,353,117,0,140,297,1,97,3,52,223
"139",270,160,66,1888,385,144,241,278,265,290,240,536,197,0,147,460,0,148,2,29,75
"140",260,138,69,1946,344,145,199,277,245,279,231,349,126,0,147,301,1,201,3,38,100
"141",275,160,66,1835,390,148,242,281,272,294,247,554,186,0,142,471,0,36,2,26,375
"142",269,156,68,1763,373,145,228,279,262,287,242,544,201,0,148,469,1,135,3,30,500
"143",262,146,70,1611,350,144,206,275,243,278,237,527,206,0,156,464,1,327,1,23,400
"144",273,160,65,1852,390,146,244,277,271,293,244,550,189,0,143,464,0,39,2,38,350
"145",281,157,63,2173,400,154,246,288,294,304,248,415,138,0,141,347,1,26,4,32,800
"146",277,159,66,1844,388,150,238,286,271,296,248,551,198,0,149,475,0,145,2,10,500
"147",256,133,70,1820,335,145,190,273,241,274,229,385,145,0,151,338,0,229,2,39,333
"148",275,159,66,1761,388,149,239,281,272,293,248,571,191,0,143,485,0,165,2,34,267
"149",272,161,65,1870,389,145,244,278,270,292,243,548,192,0,144,465,0,37,2,33,327
"150",271,160,65,1896,388,144,244,277,269,291,241,536,189,0,144,454,0,37,2,41,403
"151",271,130,68,1175,356,166,190,277,268,280,252,755,277,0,146,642,0,219,2,30,714
"152",252,124,68,1861,328,147,181,271,234,272,227,367,138,0,156,325,0,290,2,48,700
